1 Bulbasaur 49 49 45 0.7 4.5 5.6
2 Ivysaur 62 63 60 1 6 7.1
3 Venusaur 100 123 80 2 8 9.1
4 Charmander 52 43 65 0.6 3.9 5
5 Charmeleon 64 58 80 1.1 5.8 6.9
6 Charizard 104 78 100 1.7 7.8 8.9
7 Squirtle 48 65 43 0.5 4.4 5.5
8 Wartortle 63 80 58 1 5.9 7
9 Blastoise 103 120 78 1.6 7.9 9
10 Caterpie 30 35 45 0.3 4.5 5.6
11 Metapod 20 55 30 0.7 5 6.1
12 Butterfree 45 50 70 1.1 6 7.1
13 Weedle 35 30 50 0.3 4 5.1
14 Kakuna 25 50 35 0.6 4.5 5.6
15 Beedrill 150 40 145 1 6.5 7.6
16 Pidgey 45 40 56 0.3 4 5.1
17 Pidgeotto 60 55 71 1.1 6.3 7.4
18 Pidgeot 80 80 121 1.5 8.3 9.4
19 Rattata 56 35 72 0.4 3 4.1
20 Raticate 71 70 77 0.7 7.5 8.6
21 Spearow 60 30 70 0.3 4 5.1
22 Fearow 90 65 100 1.2 6.5 7.6
23 Ekans 60 44 55 2 3.5 4.6
24 Arbok 95 69 80 3.5 6 7.1
25 Pikachu 55 40 90 0.4 3.5 4.6
26 Raichu 85 50 110 1.5 6 7.1
27 Sandshrew 75 90 40 0.6 5 6.1
28 Sandslash 100 120 65 0.9 7.5 8.6
29 Nidoran-hembra 47 52 41 0.4 5.5 6.6
30 Nidorina 62 67 56 0.8 7 8.1
31 Nidoqueen 92 87 76 1.3 9 10
32 Nidoran-macho 57 40 50 0.5 4.6 5.7
33 Nidorino 72 57 65 0.9 6.1 7.2
34 Nidoking 102 77 85 1.4 8.1 9.2
35 Clefairy 45 48 35 0.6 7 8.1
36 Clefable 70 73 60 1.3 9.5 10
37 Vulpix 41 40 65 0.5 3.8 4.9
38 Ninetales 67 75 109 0.6 7.3 8.4
39 Jigglypuff 45 20 20 0.5 10 10
40 Wigglytuff 70 45 45 1 10 10
41 Zubat 45 35 55 0.8 4 5.1
42 Golbat 80 70 90 1.6 7.5 8.6
43 Oddish 50 55 30 0.5 4.5 5.6
44 Gloom 65 70 40 0.8 6 7.1
45 Vileplume 80 85 50 1.2 7.5 8.6
46 Paras 70 55 25 0.3 3.5 4.6
47 Parasect 95 80 30 1 6 7.1
48 Venonat 55 50 45 1 6 7.1
49 Venomoth 65 60 90 1.5 7 8.1
50 Diglett 55 30 90 0.2 1 2.1
51 Dugtrio 100 60 110 0.3 3.5 4.6
52 Meowth 35 35 90 0.4 4 5.1
53 Persian 60 60 115 0.8 6.5 7.6
54 Psyduck 52 48 55 0.8 5 6.1
55 Golduck 82 78 85 1.7 8 9.1
56 Mankey 80 35 70 0.5 4 5.1
57 Primeape 105 60 95 1 6.5 7.6
58 Growlithe 70 45 60 0.7 5.5 6.6
59 Arcanine 110 80 95 1.9 9 10
60 Poliwag 50 40 90 0.6 4 5.1
61 Poliwhirl 65 65 90 1 6.5 7.6
62 Poliwrath 95 95 70 1.3 9 10
63 Abra 20 15 90 0.9 2.5 3.6
64 Kadabra 35 30 105 1.3 4 5.1
65 Alakazam 50 65 150 1.5 5.5 6.6
66 Machop 80 50 35 0.8 7 8.1
67 Machoke 100 70 45 1.5 8 9.1
68 Machamp 130 80 55 1.6 9 10
69 Bellsprout 75 35 40 0.7 5 6.1
70 Weepinbell 90 50 55 1 6.5 7.6
71 Victreebel 105 65 70 1.7 8 9.1
72 Tentacool 40 35 70 0.9 4 5.1
73 Tentacruel 70 65 100 1.6 8 9.1
74 Geodude 80 100 20 0.8 4 5.1
75 Graveler 95 115 35 1 5.5 6.6
76 Golem 120 130 45 1.5 8 9.1
77 Ponyta 85 55 90 1 5 6.1
78 Rapidash 100 70 105 1.7 6.5 7.6
79 Slowpoke 65 65 15 1.2 9 10
80 Slowbro 75 180 30 1.6 9.5 10
81 Magnemite 35 70 45 0.3 2.5 3.6
82 Magneton 60 95 70 1 5 6.1
83 Farfetch'd 90 55 60 0.8 5.2 6.3
84 Doduo 85 45 75 1.4 3.5 4.6
85 Dodrio 110 70 110 1.8 6 7.1
86 Seel 45 55 45 1.1 6.5 7.6
87 Dewgong 70 80 70 1.7 9 10
88 Grimer 80 50 25 0.8 8 9.1
89 Muk 105 75 50 1.2 10 10
90 Shellder 65 100 40 0.3 3 4.1
91 Cloyster 95 180 70 1.5 5 6.1
92 Gastly 35 30 80 1.3 3 4.1
93 Haunter 50 45 95 1.6 4.5 5.6
94 Gengar 65 80 130 1.5 6 7.1
95 Onix 45 160 70 8.8 3.5 4.6
96 Drowzee 48 45 42 1 6 7.1
97 Hypno 73 70 67 1.6 8.5 9.6
98 Krabby 105 90 50 0.4 3 4.1
99 Kingler 130 115 75 1.3 5.5 6.6
100 Voltorb 30 50 100 0.5 4 5.1
101 Electrode 50 70 150 1.2 6 7.1
102 Exeggcute 40 80 40 0.4 6 7.1
103 Exeggutor 105 85 45 2 9.5 10
104 Cubone 50 95 35 0.4 5 6.1
105 Marowak 80 110 45 0.6 6 7.1
106 Hitmonlee 120 53 87 1.5 5 6.1
107 Hitmonchan 105 79 76 1.4 5 6.1
108 Lickitung 55 75 30 1.2 9 10
109 Koffing 65 95 35 0.6 4 5.1
110 Weezing 90 120 60 1.2 6.5 7.6
111 Rhyhorn 85 95 25 1 8 9.1
112 Rhydon 130 120 40 1.9 10 10
113 Chansey 5 5 50 1.1 10 10
114 Tangela 55 115 60 1 6.5 7.6
115 Kangaskhan 125 100 100 2.2 10 10
116 Horsea 40 70 60 0.4 3 4.1
117 Seadra 65 95 85 1.2 5.5 6.6
118 Goldeen 67 60 63 0.6 4.5 5.6
119 Seaking 92 65 68 1.3 8 9.1
120 Staryu 45 55 85 0.8 3 4.1
121 Starmie 75 85 115 1.1 6 7.1
122 Mr.-Mime 45 65 90 1.3 4 5.1
123 Scyther 110 80 105 1.5 7 8.1
124 Jynx 50 35 95 1.4 6.5 7.6
125 Electabuzz 83 57 105 1.1 6.5 7.6
126 Magmar 95 57 93 1.3 6.5 7.6
127 Pinsir 155 120 105 1.5 6.5 7.6
128 Tauros 100 95 110 1.4 7.5 8.6
129 Magikarp 10 55 80 0.9 2 3.1
130 Gyarados 155 109 81 6.5 9.5 10
131 Lapras 85 80 60 2.5 10 10
132 Ditto 48 48 48 0.3 4.8 5.9
133 Eevee 55 50 55 0.3 5.5 6.6
134 Vaporeon 65 60 65 1 10 10
135 Jolteon 65 60 130 0.8 6.5 7.6
136 Flareon 130 60 65 0.9 6.5 7.6
137 Porygon 60 70 40 0.8 6.5 7.6
138 Omanyte 40 100 35 0.4 3.5 4.6
139 Omastar 60 125 55 1 7 8.1
140 Kabuto 80 90 55 0.5 3 4.1
141 Kabutops 115 105 80 1.3 6 7.1
142 Aerodactyl 135 85 150 1.8 8 9.1
143 Snorlax 110 65 30 2.1 10 10
144 Articuno 85 100 85 1.7 9 10
145 Zapdos 90 85 100 1.6 9 10
146 Moltres 100 90 90 2 9 10
147 Dratini 64 45 50 1.8 4.1 5.2
148 Dragonair 84 65 70 4 6.1 7.2
149 Dragonite 134 95 80 2.2 9.1 10
150 Mewtwo 150 70 140 2 10 10
151 Mew 100 100 100 0.4 10 10
152 Chikorita 49 65 45 0.9 4.5 5.6
153 Bayleef 62 80 60 1.2 6 7.1
154 Meganium 82 100 80 1.8 8 9.1
155 Cyndaquil 52 43 65 0.5 3.9 5
156 Quilava 64 58 80 0.9 5.8 6.9
157 Typhlosion 84 78 100 1.7 7.8 8.9
158 Totodile 65 64 43 0.6 5 6.1
159 Croconaw 80 80 58 1.1 6.5 7.6
160 Feraligatr 105 100 78 2.3 8.5 9.6
161 Sentret 46 34 20 0.8 3.5 4.6
162 Furret 76 64 90 1.8 8.5 9.6
163 Hoothoot 30 30 50 0.7 6 7.1
164 Noctowl 50 50 70 1.6 10 10
165 Ledyba 20 30 55 1 4 5.1
166 Ledian 35 50 85 1.4 5.5 6.6
167 Spinarak 60 40 30 0.5 4 5.1
168 Ariados 90 70 40 1.1 7 8.1
169 Crobat 90 80 130 1.8 8.5 9.6
170 Chinchou 38 38 67 0.5 7.5 8.6
171 Lanturn 58 58 67 1.2 10 10
172 Pichu 40 15 60 0.3 2 3.1
173 Cleffa 25 28 15 0.3 5 6.1
174 Igglybuff 30 15 15 0.3 9 10
175 Togepi 20 65 20 0.3 3.5 4.6
176 Togetic 40 85 40 0.6 5.5 6.6
177 Natu 50 45 70 0.2 4 5.1
178 Xatu 75 70 95 1.5 6.5 7.6
179 Mareep 40 40 35 0.6 5.5 6.6
180 Flaaffy 55 55 45 0.8 7 8.1
181 Ampharos 95 105 45 1.4 9 10
182 Bellossom 80 95 50 0.4 7.5 8.6
183 Marill 20 50 40 0.4 7 8.1
184 Azumarill 50 80 50 0.8 10 10
185 Sudowoodo 100 115 30 1.2 7 8.1
186 Politoed 75 75 70 1.1 9 10
187 Hoppip 35 40 50 0.4 3.5 4.6
188 Skiploom 45 50 80 0.6 5.5 6.6
189 Jumpluff 55 70 110 0.8 7.5 8.6
190 Aipom 70 55 85 0.8 5.5 6.6
191 Sunkern 30 30 30 0.3 3 4.1
192 Sunflora 75 55 30 0.8 7.5 8.6
193 Yanma 65 45 95 1.2 6.5 7.6
194 Wooper 45 45 15 0.4 5.5 6.6
195 Quagsire 85 85 35 1.4 9.5 10
196 Espeon 65 60 110 0.9 6.5 7.6
197 Umbreon 65 110 65 1 9.5 10
198 Murkrow 85 42 91 0.5 6 7.1
199 Slowking 75 80 30 2 9.5 10
200 Misdreavus 60 60 85 0.7 6 7.1
201 Unown 72 48 48 0.5 4.8 5.9
202 Wobbuffet 33 58 33 1.3 10 10
203 Girafarig 80 65 85 1.5 7 8.1
204 Pineco 65 90 15 0.6 5 6.1
205 Forretress 90 140 40 1.2 7.5 8.6
206 Dunsparce 70 70 45 1.5 10 10
207 Gligar 75 105 85 1.1 6.5 7.6
208 Steelix 125 230 30 9.2 7.5 8.6
209 Snubbull 80 50 30 0.6 6 7.1
210 Granbull 120 75 45 1.4 9 10
211 Qwilfish 95 85 85 0.5 6.5 7.6
212 Scizor 150 140 75 1.8 7 8.1
213 Shuckle 10 230 5 0.6 2 3.1
214 Heracross 185 115 75 1.5 8 9.1
215 Sneasel 95 55 115 0.9 5.5 6.6
216 Teddiursa 80 50 40 0.6 6 7.1
217 Ursaring 130 75 55 1.8 9 10
218 Slugma 40 40 20 0.7 4 5.1
219 Magcargo 50 120 30 0.8 6 7.1
220 Swinub 50 40 50 0.4 5 6.1
221 Piloswine 100 80 50 1.1 10 10
222 Corsola 55 95 35 0.6 6.5 7.6
223 Remoraid 65 35 65 0.6 3.5 4.6
224 Octillery 105 75 45 0.9 7.5 8.6
225 Delibird 55 45 75 0.9 4.5 5.6
226 Mantine 40 70 70 2.1 8.5 9.6
227 Skarmory 80 140 70 1.7 6.5 7.6
228 Houndour 60 30 65 0.6 4.5 5.6
229 Houndoom 90 90 115 1.4 7.5 8.6
230 Kingdra 95 95 85 1.8 7.5 8.6
231 Phanpy 60 60 40 0.5 9 10
232 Donphan 120 120 50 1.1 9 10
233 Porygon2 80 90 60 0.6 8.5 9.6
234 Stantler 95 62 85 1.4 7.3 8.4
235 Smeargle 20 35 75 1.2 5.5 6.6
236 Tyrogue 35 35 35 0.7 3.5 4.6
237 Hitmontop 95 95 70 1.4 5 6.1
238 Smoochum 30 15 65 0.4 4.5 5.6
239 Elekid 63 37 95 0.6 4.5 5.6
240 Magby 75 37 83 0.7 4.5 5.6
241 Miltank 80 105 100 1.2 9.5 10
242 Blissey 10 10 55 1.5 10 10
243 Raikou 85 75 115 1.9 9 10
244 Entei 115 85 100 2.1 10 10
245 Suicune 75 115 85 2 10 10
246 Larvitar 64 50 41 0.6 5 6.1
247 Pupitar 84 70 51 1.2 7 8.1
248 Tyranitar 164 150 71 2 10 10
249 Lugia 90 130 110 5.2 10 10
250 Ho-Oh 130 90 90 3.8 10 10
251 Celebi 100 100 100 0.6 10 10
252 Treecko 45 35 70 0.5 4 5.1
253 Grovyle 65 45 95 0.9 5 6.1
254 Sceptile 110 75 145 1.7 7 8.1
255 Torchic 60 40 45 0.4 4.5 5.6
256 Combusken 85 60 55 0.9 6 7.1
257 Blaziken 160 80 100 1.9 8 9.1
258 Mudkip 70 50 40 0.4 5 6.1
259 Marshtomp 85 70 50 0.7 7 8.1
260 Swampert 150 110 70 1.5 10 10
261 Poochyena 55 35 35 0.5 3.5 4.6
262 Mightyena 90 70 70 1 7 8.1
263 Zigzagoon 30 41 60 0.4 3.8 4.9
264 Linoone 70 61 100 0.5 7.8 8.9
265 Wurmple 45 35 20 0.3 4.5 5.6
266 Silcoon 35 55 15 0.6 5 6.1
